jobid,exename,numnodes,numcpus,numtasks,executiontime,start,end,power,memory,appname,taskspercpu,taskspernode,user
1,vasp_std,1,256,64,8909,2020-11-03T13:48:31,2020-11-03T16:17:00,289.429,23263800,vasp,0.25,64,user_1
2,vasp_std,1,272,1,4498,2020-11-02T05:44:30,2020-11-02T06:59:28,283.234,22576300,vasp,0.003676471,1,user_1
3,vasp,1,272,1,5877,2020-11-02T12:46:12,2020-11-02T14:24:09,280.768,22589000,vasp,0.003676471,1,user_1
4,vasp_std,1,272,1,3775,2020-11-04T00:37:48,2020-11-04T01:40:43,276.237,23236600,vasp,0.003676471,1,user_1
5,vasp_ncl,1,272,1,4384,2020-11-03T06:41:45,2020-11-03T07:54:49,278.221,17640000,vasp,0.003676471,1,user_1
6,vasp_gam,5,1360,5,1537,2020-11-05T06:41:07,2020-11-05T07:06:44,264.875,24147400,vasp,0.003676471,1,user_1
7,vasp_gam,5,1360,5,1632,2020-11-05T06:41:07,2020-11-05T07:08:19,272.604,27267800,vasp,0.003676471,1,user_1
8,vasp_gam,5,1360,5,1442,2020-11-05T06:41:07,2020-11-05T07:05:09,270.027,23006100,vasp,0.003676471,1,user_1
9,vasp_std,5,1360,5,5316,2020-11-09T09:45:25,2020-11-09T11:14:01,281.228,27405700,vasp,0.003676471,1,user_1
10,vasp_std,2,544,2,1959,2020-11-10T12:19:59,2020-11-10T12:52:38,224.811,19724800,vasp,0.003676471,1,user_1
11,vasp_std_knl,2,544,2,2746,2020-11-10T12:19:59,2020-11-10T13:05:45,230.71,14177500,vasp,0.003676471,1,user_1
12,vasp_std,2,544,2,2226,2020-11-10T12:19:59,2020-11-10T12:57:05,231.366,20008800,vasp,0.003676471,1,user_1
13,vasp_std,1,272,1,1183,2020-11-24T12:39:43,2020-11-24T12:59:26,238.006,11507600,vasp,0.003676471,1,user_1
14,vasp_std,1,272,1,1333,2020-11-24T13:28:20,2020-11-24T13:50:33,226.758,11210000,vasp,0.003676471,1,user_1
15,vasp_std,1,272,1,1429,2020-11-24T12:39:43,2020-11-24T13:03:32,238.4,11238500,vasp,0.003676471,1,user_1
16,vasp_std,1,272,1,895,2020-11-24T13:28:27,2020-11-24T13:43:22,219.426,9771320,vasp,0.003676471,1,user_1
17,vasp_std,1,272,1,1313,2020-11-24T20:30:57,2020-11-24T20:52:50,236.749,11677400,vasp,0.003676471,1,user_1
18,vasp_std,1,272,1,721,2020-11-24T14:59:37,2020-11-24T15:11:38,223.97,13668300,vasp,0.003676471,1,user_1
19,vasp_std,1,272,1,989,2020-11-24T20:30:57,2020-11-24T20:47:26,241.652,14711152,vasp,0.003676471,1,user_1
20,vasp_std,1,272,1,3306,2020-11-30T16:59:15,2020-11-30T17:54:21,267.184,13548900,vasp,0.003676471,1,user_1
21,vasp_std,1,272,1,7726,2020-12-01T07:22:31,2020-12-01T09:31:17,264.457,13392700,vasp,0.003676471,1,user_1
